,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,bus_id
all,bubble tea 11,dream tea 4,like place 2,avocado bubble tea 2,get dream 2,every time visit 2,long get dream tea 2,long get dream 2,long get 2,every time 2,get dream tea 2,always get 2,time visit 2,unbelievably clean 2,avocado bubble 2,place falls category 1,place falls 1,place cash 1,place best ive ever city 1,place best ive ever 1,place falls category must 1,8mElCveTpsBGuu9zOdLXbQ
all,long time 2,amazing depth 1,places ok place much 1,place expectations 1,place expectations high 1,place expectations high places 1,place expectations high places ok 1,place much 1,place much better 1,place much better expected 1,place much better expected lady 1,places ok 1,places ok place 1,places ok place much better 1,place changed mind regular 1,places well 1,places well north 1,places well north lunch 1,popped convenience 1,popped convenience superstore 1,popped convenience superstore place 1,Ojd913yxClnEwQSthSd8XQ
all,cabbage rolls 6,last week 3,sauerkraut perogies 3,blueberry perogies 3,perogies sweet 2,perogies sweet cabbage 2,perogies last week 2,sweet cabbage 2,sweet cabbage rolls 2,perogies last 2,next door 2,perogies sweet cabbage rolls 2,blueberry perogies last 2,ukrainian dish 2,italian sausage 2,blueberry perogies last week 2,rather eat restaurant connected 1,quite good minute wait lady 1,rather eat 1,quite good minute wait 1,quite good minute 1,QehLpDI-ZdJJLu5dobDdxg
all,food good 2,great atmosphere 2,food allergies 2,beef dip 2,last visit 2,last minute 2,pretty much 2,nice see 1,night special highly recommend location 1,night wonderful accommodating us last 1,night wonderful accommodating us 1,night wonderful accommodating 1,night wonderful 1,never felt safe eating 1,never felt safe eating something 1,nice see great 1,night special highly recommend 1,night special highly 1,notice prices 1,nice see great customer service 1,next time 1,_v8Ccd70N6uXw8muQeyhOA
all,whyte ave 5,south common 4,hudson south common 4,hudson south 4,good time 4,hudson whyte 3,good food 3,cent wing 3,well see 2,pretty white 2,pretty good 2,food good 2,wednesday cent 2,best deals 2,always good 2,always good time 2,great service 2,game nights 2,best bar 2,salt pepper 2,food great 2,CyGxCUdTRGUPKGOgzC6Zug
all,madison grill 7,union bank 3,dining week 3,go back 3,course meal 3,food excellent 2,first time 2,goat cheese 2,food amazing 2,chocolate dome 2,union bank inn 2,one best 2,downtown dining week 2,downtown dining 2,bank inn 2,top end 2,us came 2,eggs benedict 2,best eggs 2,best eggs benedict 2,many thanks 2,eJFw8xWcqyAno0SclR4uzg
all,go back 11,wine tapas 9,wait go 8,food wine 7,feed option 7,great wine 7,great service 7,wait go back 7,date night 6,great food 6,every time 6,excellent service 6,wine selection 6,wine list 6,glass wine 5,food service 5,apple compote 5,make sure 5,feel like 5,place small 5,definitely back 5,2fTfpN5SggLgW4LlzptMPg
all,ritchie market 5,best coffee 4,meat market 4,location ritchie 3,richie market 3,coffee house 3,get work 2,coffee scene 2,almond milk 2,new ritchie 2,walk ravine 2,first sip 2,great atmosphere 2,chocolate croissant 2,open concept 2,london fog 2,transcend great 2,coffee house edmonton 2,millcreek ravine 2,location ritchie market 2,amazing coffee 2,l8uzbLGk9CLjElcWGyBZ0Q
all,area employees 1,panago lot 1,panago lot need write 1,panago lot need write yelp 1,pepperoni gluten 1,pepperoni gluten free 1,pepperoni gluten free toppings 1,pepperoni gluten free toppings sauces 1,place wow 1,place wow many 1,place wow many companies 1,place wow many companies could 1,professional year 1,professional year moving 1,professional year moving area 1,professional year moving area employees 1,review nicest 1,review nicest efficient 1,review nicest efficient employees 1,review nicest efficient employees ever 1,seem happy 1,fgIAN_Y-hgPq6E-MPZk8vg
all,sesame sauce 3,always get 2,even busy 2,make sure 2,great atmosphere 2,sushi edmonton 2,lunch bento 2,sushi places 2,fresh food 2,rainbow roll 2,always great 2,produce appropriate results meals usually 1,prompt thorough great keeping tables 1,quick service 1,quick service coming 1,prompt thorough great keeping 1,quick service coming years 1,prompt thorough great 1,prompt thorough 1,acceptable especially 1,produce appropriate 1,Cr-uaPrfvG7tvqzLGAGErA
all,looking around 2,friendly helpful 2,prices high found 1,pot joked great 1,pot joked great sales 1,pot joked great sales really 1,pots available 1,pots available outside 1,pots available outside ended 1,pots available outside ended back 1,pretty common 1,pretty common nurseries 1,pretty common nurseries gift 1,pretty common nurseries gift shop 1,prices high 1,prices high found store 1,pot inside find right one 1,prices high found store fair 1,prices pretty 1,prices pretty common 1,prices pretty common nurseries 1,Cgt1HwatFE0sscdH6SlijA
all,delivery dover 1,skip dishes 1,kam skip dishes times 1,kam skip dishes times great 1,ordered delivery 1,ordered delivery dover 1,ordered delivery dover kam 1,ordered delivery dover kam skip 1,skip dishes times 1,delivery dover kam 1,skip dishes times great 1,skip dishes times great every 1,time inexpensive 1,times great 1,times great every 1,times great every time 1,kam skip dishes 1,kam skip 1,great every time inexpensive 1,great every time 1,great every 1,PJeoajci4MBVuyAOQet57g
all,food trucks 5,markets edmonton 2,family friendly 2,great place 2,vodka gin 2,little market 2,little village 2,market great 2,strathcona spirits 2,grand market 2,quality quantity vendors 1,quality quantity vendors food 1,quality quantity 1,purses soaps city plot owners 1,purses soaps city plot 1,purses soaps city 1,quality quantity vendors food vendors 1,purses soaps 1,aaahhhh pack 1,public meeting places definitely one 1,quantity vendors 1,w--nMtFJ_aqM2OlG7z0ENg
all,faculty club 7,river valley 3,customer service 2,view river valley 2,ceremony reception 2,big fan 2,wedding ceremony 2,great food 2,staff super 2,lunch buffet 2,people wedding 2,vegetarian options 2,salad bar 2,prime rib 2,friendly good 2,cheese crackers 2,view river 2,professionalism peter really knows weddings 1,professionalism peter really knows 1,prompt email 1,able change 1,151ujtgcbkGzAHUnctSg4w
all,atmosphere friendly 1,place go relaxing 1,perfect value lovely 1,perfect value lovely atmosphere 1,perfect value lovely atmosphere friendly 1,perfect wife 1,perfect wife loved 1,perfect wife loved salmon 1,perfect wife loved salmon granddaughter 1,place go 1,place go relaxing meal 1,atmosphere friendly staff 1,plus innis 1,plus innis gunn 1,plus innis gunn beer 1,plus innis gunn beer top 1,relaxing meal 1,rib eye 1,rib eye cooked 1,rib eye cooked perfect 1,perfect value 1,MtZrHienTC6EnKDEGu6AzA
