,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,bus_id
all,behind us 2,admit yes 2,good food 2,able full 1,paint job underscore looks dinning 1,paint job underscore looks 1,paint job underscore 1,paint job 1,orders shepard pie ewe favorite 1,orders shepard pie ewe 1,orders shepard pie 1,orders shepard 1,ordered food go admit stars 1,ordered food go admit 1,ordered food go 1,ordered food 1,patties home 1,patties home aid 1,ordered calamari cooked perfection 1,picture mean common desert 1,place could 1,gmE_AAJKx8A4-ju5tZ7ayA
all,coffee shop 16,best coffee 7,great coffee 7,coffee shops 7,baked goods 6,credo coffee 6,cup coffee 6,great place 5,friendly staff 5,great atmosphere 5,intelligentsia coffee 5,th street 5,staff great 4,coffee city 4,credo great 4,go credo 4,really good 3,large latte 3,pretty much 3,almond milk 3,drip coffee 3,nkqjHy8jqKkxBhmBB_-Dyw
all,grocery store 3,absolute professional 1,still grocery 1,standard grocery store makes 1,standard grocery store makes star 1,star sushi 1,star sushi bar 1,star sushi bar man 1,star sushi bar man works 1,still grocery store 1,store makes star sushi 1,still grocery store sushi 1,still grocery store sushi cut 1,store even 1,store even sushi 1,store even sushi restaurants 1,store even sushi restaurants still 1,store makes 1,standard grocery store 1,standard grocery 1,sobeys pretty standard grocery store 1,Y25LHfbIe8M2blXd6frodA
all,spice grill 7,great food 3,food almost half price fancier 2,includes saffron rice naan 2,price fancier places always order 2,price includes 2,price includes saffron 2,price includes saffron rice 2,price includes saffron rice naan 2,chicken tikka masala amazing price 2,chicken tikka masala amazing 2,chicken tikka masala 2,chicken tikka 2,includes saffron 2,includes saffron rice 2,includes saffron rice naan places 2,order chicken 2,incredible great 2,charge extra sides try 2,charge extra sides 2,charge extra 2,h2wXvobL9uNJvy6pMaHBpQ
all,nespresso machine 3,get pods 2,nespresso boutique 2,able choose 1,new products 1,nespresso system 1,nespresso system produces 1,nespresso system produces instant 1,nespresso system produces instant espresso 1,new coffee 1,new coffee machine 1,new coffee machine highly 1,new coffee machine highly recommend 1,new products familiar 1,nespresso sure check next 1,new products familiar favourites 1,new products familiar favourites go 1,next time 1,next time shopping 1,next time shopping southgate 1,nice looking 1,rpdC86_GmmRBKTvF2_DnEA
all,korean restaurant 4,seafood pancake 3,spicy savory 2,fried chicken 2,go back 2,absolutely wonderful 1,really good strongly recommend 1,recommend sipping 1,recommend sipping homemade 1,recommend sipping homemade sikhye 1,recommend sipping homemade sikhye pic 1,recommended dessert 1,recommended dessert pumpkin 1,recommended dessert pumpkin plus 1,recommended dessert pumpkin plus scoop 1,refreshing big 1,refreshing big meal 1,really good 1,refreshing big meal little 1,refreshing big meal little known 1,refreshing tasty 1,C2hsifEm52YbL-8NQ_8qKA
all,kurry kebab 5,food great 4,fast food 4,saffron rice 3,chicken delicious 3,indian food 3,butter chicken 3,owner friendly 3,customer service 3,naan bread 2,love food 2,really good 2,enough restaurant 2,every day 2,right amount 2,awesome food 2,fresh authentic 2,looks like 2,great price 2,come back 2,food owner 2,7HeI_lONqLfpmqXtWKWtCA
all,kebab makes 3,istanbul kebab 2,think find perfect replacement istanbul 2,portions great 2,istanbul kebab makes 2,istanbul kebab makes perfect 2,istanbul kebab makes perfect mediterranean 2,mediterranean food right tummy portions 2,mediterranean food right tummy 2,mediterranean food right 2,mediterranean food 2,great taste fabulous 2,great taste 2,kebab makes perfect 2,kebab makes perfect mediterranean 2,tummy portions 2,tummy portions great 2,tummy portions great taste 2,tummy portions great taste fabulous 2,kebab makes perfect mediterranean food 2,perfect mediterranean 2,kuR28qlXZHJJtwaDlMDzeg
all,alone workers 1,place atmosphere 1,pastries cakes cakes super moist 1,pastries cakes cakes super 1,pastries cakes cakes 1,pastries cakes 1,octopus vegetables would definitely recommend 1,octopus vegetables would definitely 1,octopus vegetables would 1,octopus vegetables 1,octopus chowder sooo flaky full 1,octopus chowder sooo flaky 1,octopus chowder sooo 1,octopus chowder 1,nice chunks octopus vegetables would 1,nice chunks octopus vegetables 1,nice chunks octopus 1,nice chunks 1,mom sadly leaving kinda worried 1,place amazing 1,place atmosphere amazing 1,T7ECXsrp7ocoCxXrXDicAA
all,drive thru 4,chicken tenders 4,ive tried 3,friendly service 3,onion rings 3,love love 2,cheese fries 2,star option 2,wish star option 2,open late 2,take advantage 2,items menu 2,since last 2,fast food 2,go fatburger 2,alot people 2,orders bit 2,order wrong 2,wish star 2,customer service 2,order right 2,eR69Vn010TTluvM_JvYtww
all,post office 2,across dollar 1,provide great customer service 1,provide great 1,post office service great place 1,post office service great 1,post office service 1,post office convenience store staff 1,post office convenience store 1,post office convenience 1,place buy check lottery tickets 1,place buy check lottery 1,place buy check 1,place buy 1,overall post office convenience store 1,overall post office convenience 1,overall post office 1,overall post 1,office service great place buy 1,office service great place 1,office service great 1,HqiZaPMl3jLZY4YkOpOhDg
all,always great 1,make cakes always great 1,mi hungry 1,mi hungry creative 1,mi hungry creative delicious 1,mi hungry creative delicious twist 1,mi pork 1,mi pork loin 1,mi pork loin seaweed 1,mi pork loin seaweed smoothies 1,music lot 1,music lot healthy 1,music lot healthy choice 1,music lot healthy choice variety 1,one best 1,one best butter 1,one best butter chicken 1,one best butter chicken bowl 1,place surprise 1,place surprise mi 1,place surprise mi hungry 1,_4_jANQD9Vxr7y7DVA6RQg
all,tang bistro 4,liang pi 3,deep fried 3,xi food 2,lamb skewers 2,chinese restaurants 2,must try 2,buns condensed 2,looking authentic 2,chili oil 2,every dish 2,chinese food 2,bbq lamb 2,spicy chili 2,condensed milk 2,authentic north 2,bbq lamb skewers 2,chinese pork 2,hand pulled 2,place go 1,place get northern chinese style 1,_vydMc9A522so3jFvtDAjA
all,grocery store 7,great selection 3,specialty items 3,carrot cake 3,looking even 2,eat take 2,prepared foods 2,take home 2,everything looking 2,everything looking even 2,chocolate cake 2,local produce 2,lunch brunch 2,high quality 2,owners sunterra farms group 1,panini options 1,packed lasagna enjoyed often times 1,packed lasagna 1,panini options mainly 1,panini options mainly grocery 1,packed lasagna enjoyed 1,v64vBYpFIJxxml7hgkbn3g
all,sour cream 2,french toast 2,one favourite 2,ages one 1,personally huge fan lumberjack 1,places fantastic lumberjack huge fresh 1,places fantastic lumberjack huge 1,places fantastic lumberjack 1,places fantastic 1,personally huge fan lumberjack ultimate 1,personally huge fan 1,places town solid 1,personally huge 1,perfectly flavourful fluffy crisp outside 1,perfectly flavourful fluffy crisp 1,perfectly flavourful fluffy 1,perfectly flavourful 1,perfection way ordered fries good 1,places town 1,places town solid hearty breakfast 1,places town solid hearty 1,dnOZr9LepBOSgQi2Jrls9A
all,dim sum 29,chinese food 6,dim sum restaurant 5,sticky rice 5,sum restaurant 5,shrimp dumplings 4,good food 4,time dim sum 3,jumbo dim sum 3,jumbo dim 3,food great 3,pork buns 3,time dim 3,coming years 3,rice rolls 3,chinese restaurant 3,prices reasonable 3,good authentic 3,chinese new year 3,chinese new 3,busy weekends 3,n6up3A47D8FIyKcdPDWzuQ
all,coffee bureau 21,coffee shops 7,coffee shop 7,baked goods 6,best coffee 6,jasper ave 5,great place 5,customer service 4,little coffee 4,drink coffee 4,people watching 4,favourite coffee 4,super friendly 4,get coffee 3,best americano 3,coffee great 3,cup coffee 3,little spot 3,shop town 3,favourite coffee shop town 3,coffee place 3,TZvtPXSYAjMFe0-ddll9FA
all,order curry raman 2,place one 2,curry raman 2,raman good 2,fried squid 2,friendly helpful 2,order curry 2,place one best 1,place one best place 1,place one best place friends 1,place must try 1,place right 1,place right near 1,place right near downtown 1,place right near downtown edmonton 1,place try 1,place try regret 1,portion price 1,place one coming 1,able order 1,portion price good 1,HFcL9_nbvB_YTsSX5CR6Fg
all,donair place 3,regular size 2,best donair 2,place neighbourhood closed trying 1,place neighbourhood 1,place last night happy food 1,place last night happy 1,place last night 1,place last 1,place happy say found new 1,place happy say found 1,place happy say 1,place happy 1,place edmonton greedy go jumbo 1,place edmonton greedy go 1,place edmonton greedy 1,place edmonton 1,place compares every place tried 1,place compares every place 1,place compares every 1,place compares 1,Ng3DOlu06ep6gkSsjBvF0g
all,lo mein 2,gui lin 2,hot sour 2,love love 2,hot sour soup 2,sour soup 2,able eat 1,people know place great please 1,people know place great 1,people know place 1,people know 1,peanuts bowl without getting soggy 1,personally like ramen 1,peanuts bowl without getting 1,peanuts bowl without 1,peanuts bowl 1,part chinese cuisine broth making 1,part chinese cuisine broth 1,part chinese cuisine 1,part chinese 1,paid delivery fee far south 1,CRp2ONfr9HlbL14Ge7Trvw
all,able try 1,oliver ample parking family 1,oliver ample 1,never experienced ethiopian cuisine like 1,never experienced ethiopian cuisine 1,never experienced ethiopian 1,never experienced 1,money portions ample food good 1,money portions ample food 1,money portions ample 1,money portions 1,mom back cooking delicious food 1,mom back cooking delicious 1,mom back cooking 1,mom back 1,meat spot son one serving 1,meat spot son one 1,meat spot son 1,meat spot 1,oliver ample parking 1,oliver ample parking family gracious 1,f13P9cscozrAshoi6EehMw
all,ahead everyone 1,others follow rotation probably 1,others follow 1,nights male dj hosting much 1,nights male dj hosting 1,nights male dj 1,nights male 1,much fun kinda puts songs 1,much fun kinda puts 1,much fun kinda 1,much fun 1,male dj hosting much fun 1,male dj hosting much 1,male dj hosting 1,male dj 1,love redid place 1,love redid 1,lets friends sing ahead others 1,lets friends sing ahead 1,lets friends sing 1,lets friends 1,_QCfBiJIv1iGHgthFr_CJA
all,always nice 1,recently moved montreal 1,place incredible amazing food excellent 1,place supper 1,place supper drinks 1,ra roll 1,ra roll angry 1,ra roll angry tuna 1,ra roll angry tuna roll 1,recently moved 1,recently moved montreal amazing 1,place incredible amazing 1,recently moved montreal amazing sushi 1,recommend place 1,recommend place supper 1,recommend place supper drinks 1,roll angry 1,roll angry tuna 1,roll angry tuna roll 1,roll angry tuna roll wagyu 1,place incredible amazing food 1,UHPzLbr-bwGcChiCKjUTGg
all,london drugs 3,around trying 2,already staples 1,purchased asus tablet already 1,sale pleasant deal felt 1,sale pleasant deal 1,sale pleasant 1,really bad hygiene going deal 1,really bad hygiene going 1,really bad hygiene 1,really bad 1,put difference great employee means 1,put difference great employee 1,put difference great 1,put difference 1,purchased asus tablet already staples 1,purchased asus 1,purchased asus tablet 1,samsung also 1,purchase staples young man seemed 1,purchase staples young man 1,IhCbb8ou59_57j5xEKFz9g
all,really hot 2,butter chicken 2,best ever 2,food service 2,alike ordered 1,ordering system easy use accurate 1,orders portions generous tasty average 1,orders portions generous tasty 1,orders portions generous 1,orders portions 1,ordering system easy use 1,ordering system easy 1,ordering system 1,ordered neighborhood new go cant 1,ordered neighborhood new go 1,ordered neighborhood new 1,ordered neighborhood 1,owner jay 1,owner jay came 1,ordered mild dahl hot 1,owner jay came created 1,_I8C1YQXoQRxRQKYiWHRlg
all,royal pizza 3,like spaghetti 2,one best 2,fred special 2,best pizza 2,great pizza 2,pizza love yes strongly 1,pizza love yes strongly believe 1,pizza one 1,pizza phonelady helped app 1,pizza love yes 1,pizza love 1,pizza one top 1,pizza one top places 1,pizza one top places pizza 1,pizza phonelady 1,pizza phonelady helped 1,add extra 1,pizza phonelady helped app deliverydude 1,pizza lil caesars pizza 1,pizza place 1,QlhTyTj5BoZp9u6SaaBaIA
all,butter chicken 12,indian fusion 11,indian food 9,garlic naan 8,saffron rice 7,lunch special 5,best indian 5,rice naan 4,fijian foods 4,feel like 4,love place 4,great service 4,coconut naan 4,naan bread 4,go back 4,indian cuisine 3,food great 3,great indian 3,fijian food 3,back edmonton 3,great food 3,ETocc91Bm5-EMPhODTUx_Q
all,across city 1,possible unlike locations city move 1,moving fast possible unlike 1,moving fast possible unlike locations 1,much know 1,much know getting 1,much know getting hit 1,much know getting hit timmies 1,possible unlike 1,possible unlike locations 1,possible unlike locations city 1,pretty much 1,moving fast 1,pretty much know 1,pretty much know getting 1,pretty much know getting hit 1,previously said 1,previously said pretty 1,previously said pretty much 1,previously said pretty much know 1,product goes 1,nwfUGLlKaF3D3OPS4idFtw
all,beer revolution 10,beer selection 4,beer menu 4,go back 4,like beer 4,thin crust 4,first time 3,good service 3,craft beer 3,great beer 3,holy crap 3,beer board 3,oliver square 3,truffle fries 3,happy hour 3,bar food 3,chopped salad 3,good day 2,amazing beer 2,pizza also 2,root beer 2,5nUFmpRZQQ6kSQ3Qe2TDGA
all,ace coffee 4,also sell 2,coffee donut 2,roast beans 2,coffee shop 2,coffee house 2,even though 2,like edmonton 2,opening hours 2,opening hours cafe ace coffee 1,opening hours made 1,pandemic world 1,opened doors today friday wow 1,overcome things somewhat lacking 1,overcome things somewhat 1,overcome things 1,outside seems odd city like 1,outside seems odd city 1,outside seems odd 1,outside seems 1,ordered macchiato kind like expresso 1,ud1DYfS8px87ApE5uDdRAw
all,super nice 3,go place 2,bone head 2,got work 2,first time 2,pizza donair 2,quick service 2,chicken donair 2,tried pizza 2,credit machine 2,great place 2,donair poutine 2,delivery guy 2,amazing pizza 2,pizza would highly recommend delivery 1,pizza would highly recommend 1,absolutely amazing 1,pizza would highly 1,pizza touch greasy pile cheese 1,pizza touch greasy pile 1,pizza touch greasy 1,pZ96Z71pjZzys1ApmCr-PA
all,great food 2,beef pho 2,account portions 1,portions great thanks great food 1,recommend satay 1,really enjoy deluxe beef pho 1,really enjoy deluxe beef 1,really enjoy deluxe 1,really enjoy 1,price get two bowls pho 1,price get two bowls 1,price get two 1,price get 1,portions great thanks 1,portions great thanks great 1,pho free jasmine tea twenty 1,portions great 1,pho want peanuts satay sauce 1,pho want peanuts satay 1,pho want peanuts 1,pho want 1,b9uVdbOgpQ7G4M4dIfmd3w
all,hot summer 2,ice cream 2,pa peterson 2,across town 1,people support small businesses like 1,people squeeze inside peer 1,people squeeze inside peer row 1,people support 1,people support small 1,people support small businesses 1,peterson one rare 1,peterson one 1,people squeeze 1,peterson one rare holes 1,peterson one rare holes wall 1,peterson pulls 1,people squeeze inside 1,people find grumpy make effort 1,peterson pulls double duty 1,people find grumpy make 1,people find grumpy 1,1qhMQZIKew3P-pwWFeQojg
all,always consistently 1,odd drinks much 1,meat platter halo 1,meat platter halo halo 1,meat platter halo halo dessert 1,much flavor 1,much flavor get 1,much flavor get fear 1,much flavor get fear try 1,odd drinks 1,odd drinks much flavor 1,always consistently delicious 1,odd drinks much flavor get 1,office regularly 1,office regularly orders 1,office regularly orders take 1,office regularly orders take outs 1,orders take 1,orders take outs 1,orders take outs food 1,meat platter 1,riTbNpCEwda96U8snFZIzg
all,chinese food 2,yunnan food 2,offal dishes 2,south silk 2,south silk road 2,silk road 2,place typical canchin 1,reflects many 1,real spicy 1,real spicy chinese 1,real spicy chinese food 1,place surely finally went eat 1,real spicy chinese food edmonton 1,reasonable ordered 1,reasonable ordered four 1,reasonable ordered four dishes 1,reasonable ordered four dishes easily 1,reflects many ethnic 1,pu er tea wild 1,reflects many ethnic minority 1,reflects many ethnic minority groups 1,URhJWn6xWZCxNzdXGR4-Fw
all,store front 2,fried chicken 2,quick stop 2,place fried chicken pick ordered 1,place barely see around 1,place barely see around wish 1,place fried 1,place fried chicken 1,place fried chicken pick 1,ago many 1,place hit 1,place barely 1,place hit quick 1,place hit quick stop 1,place hit quick stop well 1,place stands 1,place barely see 1,pickle side perfect stop time 1,place stands keep great 1,pickle side perfect stop 1,pickle side perfect 1,PK2NvXv7RKvqSSOmzyr4Rg
all,amazing service 2,olive oil 2,service outstanding 2,last night 2,food definitely 2,palatable meal kinda surprised 1,party including one small child 1,party including one small 1,party including one 1,party including 1,parties tiramisu birthday cake yummm 1,parties tiramisu birthday cake 1,parties tiramisu birthday 1,parties tiramisu 1,palatable meal kinda surprised find 1,palatable meal kinda 1,palatable meal 1,pair sauces meats halibut ground 1,pair sauces meats halibut 1,pair sauces meats 1,pair sauces 1,mUXDshICEWGE6D-pmUDbuw
all,also really 2,gam ja 2,probably best gam 1,ppyeo haejangguk gam ja tang 1,ppyeo haejangguk gam ja 1,ppyeo haejangguk gam 1,ppyeo haejangguk 1,pork soup probably best gam 1,pork soup probably best 1,pork soup probably 1,pork soup 1,personally best korean restaurant edmonton 1,personally best korean restaurant 1,personally best korean 1,personally best 1,person serving pork soup probably 1,person serving pork soup 1,probably best 1,probably best gam ja 1,lunch recently overall 1,probably best gam ja tangs 1,Y68SBS9rTUPmoAU-Nqk6kg
all,cedar sweets 2,really know good 1,right next sunbake 1,right next 1,review tasted better baklava city 1,review tasted better baklava 1,review tasted better 1,review tasted 1,recall first time going awe 1,recall first time going 1,recall first time 1,recall first 1,really know good baklava taste 1,really know good baklava 1,alice food 1,service staff always happy 1,really know 1,purchased kept declining samples insisted 1,purchased kept declining samples 1,purchased kept declining 1,purchased kept 1,ZWj9aMld0EC5jOUdc-7z5g
all,anywhere else 1,pizza request proprietor go anywhere 1,pizzas terrific 1,pizzas new pizzeria suggestion wanted 1,pizzas new pizzeria suggestion 1,pizzas new pizzeria 1,pizzas new 1,pizzas extremely confident putting universe 1,pizzas extremely confident putting 1,pizzas extremely confident 1,pizzas extremely 1,pizzas eaten edmonton hands 1,pizzas eaten edmonton 1,pizzas eaten 1,pizza would like kind special 1,pizza would like kind 1,pizza would like 1,pizza would 1,pizza shop located inside glenora 1,pizza shop located inside 1,pizza shop located 1,w91DxGTqV9AptyKU7zdr1g
all,ice cream 9,nice treat 2,hot day 2,around whyte 1,process went raspberry cheesecake 1,prices vary 1,prices vary single 1,prices vary single scoop 1,prices vary single scoop regular 1,probably walked 1,probably walked past 1,probably walked past dozens 1,probably walked past dozens time 1,process went 1,process went raspberry 1,raspberry cheesecake 1,process went raspberry cheesecake fantastic 1,prevent drips smoking hot 1,raspberry cheesecake fantastic 1,raspberry cheesecake fantastic prices 1,raspberry cheesecake fantastic prices vary 1,hQMnZvR_DPo3wXJ8TQYQDw
all,absolutely love 2,onion rings die staff 1,ones meat 1,ones meat well 1,ones meat well cooked 1,ones meat well cooked extremely 1,onion rings 1,onion rings die 1,onion rings die staff extremely 1,one best places edmonton 1,order thank 1,ordered donairs 1,ordered donairs poutine 1,ordered donairs poutine split 1,ordered donairs poutine split bother 1,owner essentially 1,one best places edmonton get 1,one best places 1,owner essentially different business 1,noon school 1,never leave hungry eat 1,TWMdj3HuClJBxRNpnskzFA
all,every time 3,amazing bread 2,day week 2,baked goods 2,cinnamon buns 2,allow mention 1,outskirts still 1,oven love bread pumpkin scones 1,oven love bread pumpkin 1,oven love bread 1,oven love 1,outskirts still close haha anyways 1,outskirts still close haha 1,outskirts still close 1,outskirts city okay location 1,outskirts city okay location outskirts 1,overall would choose 1,outskirts city okay 1,outskirts city 1,oranges people shop make taste 1,oranges people shop make 1,H9c-blxq2ENOwh8E_6Gc7g
all,happy camel 7,good stuff 3,happy camel go 2,camel go 2,dip great 2,grocery store 2,good stuff happy camel 2,good stuff happy 2,stuff happy camel 2,different kinds 2,stuff happy 2,absolute favourite 1,pit dip 1,pit dip place absolutely die 1,pit dip place 1,pit dip place absolutely 1,person eat food many 1,pit hummus 1,pit hummus every 1,pit hummus every week 1,pit hummus every week snacks 1,9SMe5vUw08vK1-KVIfwudw
all,booster juice 4,absolutely recommend 1,particular location also friendly 1,panini staffed red onion bell 1,park feel 1,park feel good 1,park feel good supporting 1,park feel good supporting canadian 1,parking since 1,parking since save 1,parking since save lot 1,particular location 1,particular location also 1,particular location also friendly staff 1,panini staffed red 1,people boots 1,people boots super 1,people boots super fast 1,people boots super fast never 1,peppers cheese 1,peppers cheese hint 1,A46RjWUshqwLu4iXK--iUA
all,fried green 15,fried green tomatoes 14,green tomatoes 14,hush puppies 8,live music 7,old fashioned 6,pulled pork 4,great food 4,fried chicken 4,hush puppies fried green 3,highly recommend 3,dill ranch 3,puppies fried green 3,hush puppies fried green tomatoes 3,hush puppies fried 3,definitely back 3,really good 3,puppies fried 3,next time 3,puppies fried green tomatoes 3,drink menu 3,tjNi0tn8ksK1V96bTLh2eg
all,chinese food 10,wok go 6,baby fat 3,onion cakes 2,feel like 2,sour chicken 2,ginger beef 2,fast food 2,sour chicken balls 2,sweet sour 2,sweet sour chicken 2,sweet sour chicken balls 2,little bit 2,food place 2,green onion cakes 2,green onion 2,best chinese 2,best chinese food 2,chicken balls 2,chinese take 2,friendly service 2,kg5nSLdVk1JqkZEklICnnw
all,accommodating hostess 1,simple things eat times since 1,ricky accommodating hostess sat us 1,ricky accommodating hostess sat 1,ricky accommodating hostess 1,ricky accommodating 1,review experience star experience went 1,review experience star experience 1,review experience star 1,review experience 1,restaurant wait long anything even 1,restaurant wait long anything 1,restaurant wait long 1,restaurant wait 1,restaurant food good also 1,restaurant food good 1,restaurant food 1,refills came main waitress clearly 1,refills came main waitress 1,refills came main 1,refills came 1,Zz0WU6PjSsqrsjCOkpA6EA
all,dim sum 2,soya sauce 2,plenty broccoli chicken 1,plenty broccoli chicken shrimp prok 1,plus since 1,plus since love 1,plus since love seafood 1,plus since love seafood thirst 1,polite people 1,actually ate 1,polite people maybe 1,polite people maybe cuz 1,polite people maybe cuz canada 1,pork dumplings 1,pork dumplings dished 1,pork dumplings dished delicious 1,pork dumplings dished delicious soup 1,plenty broccoli chicken shrimp 1,plenty broccoli 1,prok snap peas 1,plates sizes huge crab filled 1,bUFMABD5gnsdSNTQaj8gEQ
all,cafe blackbird 7,live music 6,poached egg 4,brunch bowl 3,brunch menu 3,come back 3,amazing cafe 2,local products 2,quality food 2,local art 2,first visit 2,sandwich soup 2,staff friendly 2,one places 2,supporting local 2,also live music 2,also live 2,west end 2,definitely recommend 2,long way 2,salmon mousse 2,BORvYBcXG-VbwNBylwUInA
all,rice bowl 8,love place 4,noodle bowl 4,bubble tea 3,wok box 3,authentic asian 3,bowl good 3,food always 2,wait bit 2,chow fun 2,really good 2,food tasty 2,rice noodle 2,bowl deluxe 2,never bad meal 2,highly recommend 2,never bad 2,ordered salmon 2,always nice 2,green onion 2,pleasantly surprised 2,5Y2aYrX2VUMqUdiNQgARew
all,great experience 3,river valley 2,absolutely wonderful 1,queen back bringing 1,price cruise extremely reasonable well 1,professional ensured 1,professional ensured everything 1,professional ensured everything perfect 1,professional ensured everything perfect really 1,queen back 1,queen back bringing along 1,price cruise extremely 1,queen back bringing along friends 1,really enjoyed 1,really enjoyed charcuterie 1,really enjoyed charcuterie plate 1,really enjoyed charcuterie plate full 1,really want 1,price cruise extremely reasonable 1,price cruise 1,really want leave back 1,xk8Uo9ivXjafCuljbNI_4A
all,across street 3,three bananas 3,coffee direct trade 2,churchill square 2,three banana 2,thin crust 2,farmers paid 2,ice cream 2,direct trade 2,rainy day 2,coffee direct 2,patio outside summer fireplace 1,pastries recently 1,patio outside summer fireplace inside 1,patio outside 1,pastries recently fresh granola bar 1,pastries recently fresh granola 1,pastries recently fresh 1,patio outside summer 1,pannini sandwiches soups thin 1,pannini sandwiches soups thin crust 1,D4_SY2a4YnoFhrwHeYVioA
all,brooklyn tomato 10,salad rolls 8,calgary trail 6,bonnie doon 6,green onion 5,new location 5,best vietnamese 4,favourite spot 4,vietnamese restaurant 4,food delicious 4,food always 4,restaurants edmonton 4,vietnamese restaurants 4,highly recommend 4,must say 4,onion cakes 3,staff friendly 3,green onion cakes 3,bo hue 3,highly recommended 3,vietnamese restaurants edmonton 3,8zKNW6Ehdg11EZFvY9dc-A
all,affordable food 1,pizza best area 1,place awesome 1,pizza thick loaded preference love 1,pizza thick loaded preference 1,pizza thick loaded 1,pizza thick 1,pizza pasta 1,pizza best area great place 1,pizza best area great 1,pizza best 1,place awesome italian restaurant 1,pappas burger killer pizza best 1,pappas burger killer pizza 1,pappas burger killer 1,pappas burger 1,one favourite restaurants little greasy 1,one favourite restaurants little 1,one favourite restaurants 1,one favourite 1,place awesome italian 1,1EU-P_JNrKt28bqZJ4GyFg
all,place find 2,afternoon weekdays 1,pricing stores balances due 1,popular youtube tude house 1,popular youtube tude house clio 1,prepared section 1,prepared section healthy 1,prepared section healthy snack 1,prepared section healthy snack shopping 1,pricing stores 1,pricing stores balances 1,pricing stores balances due shipping 1,popular youtube 1,print back 1,print back stickers 1,print back stickers staff 1,print back stickers staff helpful 1,product asian 1,product asian characters 1,product asian characters written 1,product asian characters written packaging 1,Mqrx3F1hdvgrJitJta7a6g
all,absolutely love 1,relatively healthy way 1,rejected long ago want back 1,rejected long ago want 1,rejected long ago 1,rejected long 1,red wine sauce guacamole toasted 1,red wine sauce guacamole 1,red wine sauce 1,red wine 1,recommend location 1,really snack medium somewhat hungry 1,really snack medium somewhat 1,really snack medium 1,really snack 1,really hungry may still need 1,really hungry may still 1,really hungry may 1,really hungry 1,quiznos locations measure try make 1,quiznos locations measure try 1,TMD6CGY3SB1eZna9iY3wgw
all,fried chicken 2,adventure plus 1,order garlic chicken could 1,outer part coating 1,outer part 1,ordered half super hot spicy 1,ordered half super hot 1,ordered half super 1,ordered half 1,order garlic chicken could finish 1,order garlic chicken 1,kfc seasoning 1,order garlic 1,one would steamed rice kfc 1,one would steamed rice 1,one would steamed 1,one would 1,one among kfc edmonton place 1,one among kfc edmonton 1,one among kfc 1,outer part coating spicy 1,rbK1BLoHS3rwQByMrEr5NA
all,happy hour 8,bell tower 5,rotisserie chicken 5,service great 4,great place 3,joey bell tower 3,taken care 3,place great 3,friendly welcoming 3,blown away 3,coming back 3,joey bell 3,definitely coming 3,back location 3,baked apple 2,definitely back 2,great atmosphere 2,joey locations 2,like thank 2,month old 2,food service 2,bUL0ccO-bbQICKHImPUyJQ
all,xu hue 5,noodle soup 4,fried rice 4,vietnamese restaurant 2,tapioca dumplings 2,duck salad 2,typical vietnamese 2,authentic vietnamese 2,vietnamese food 2,really good 2,quite good one places 1,places city serves 1,places city serves really 1,really good great balance different 1,places city serves really good 1,pork bun 1,pork bun bo 1,really good great balance 1,pork bun bo hue 1,pork bun bo hue spicy 1,price bit 1,Ry_7pocLHzf3fip7JgqXcQ
all,salad rolls 5,pho broth 4,beef satay 3,pho ever 3,green onion 2,tofu salad 2,onion cakes 2,vermicelli bowls 2,nice place 2,tofu salad rolls 2,great pho 2,vietnamese food 2,service restaurant 2,asian food 2,around area 2,restaurant great 2,food love 2,really nice 2,green onion cakes 2,young lady 2,taste taste 2,KfqFYl6UdRB5cWtYEjxWdw
all,every time 2,donairs edmonton 2,best donairs 2,best donairs edmonton 2,account could 1,place gives 1,place many options 1,place many 1,place going place quite get 1,place going place quite 1,place going place 1,place going 1,place gives heavy portion meat 1,place gives heavy portion 1,place gives heavy 1,place could use renovating food 1,place many options best donair 1,place could use renovating 1,place could use 1,place could 1,place best donairs edmonton area 1,Txbjo8zUMKdkDLf1DBA9Qg
all,fried chicken 16,fried rice 14,bao bae 7,filipino food 7,pork belly 7,garlic fried rice 6,garlic fried 6,red pepper 6,pepper mayo 5,red pepper mayo 5,fried garlic 5,garlic green 5,pickled cucumber 5,green onions 5,braised beef 4,fried garlic green onions 4,fried garlic green 4,garlic green onions 4,coconut sauce 4,bao boy 3,fried chicken coconut 3,MXg71NcrR-rtHuzjeGCh_A
all,learn calligraphy 2,mother day 2,gift basket 2,products carried store 1,products carried store handmade 1,products carried store handmade produced 1,products chocolate 1,products chocolate household 1,products carried 1,products really nice homey 1,products chocolate household gifts 1,products chocolate household gifts nicely 1,products good 1,products good assortment 1,products good assortment local 1,products good assortment local products 1,products really 1,products really nice 1,actually looking 1,product choices customer service normally 1,quality one 1,52KoVIvQiMgpAIyVJx0abw
all,customer service 2,abysmal review 1,professional involved 1,professional involved company 1,professional involved company review 1,professional involved company review promptly 1,professional took 1,professional took time 1,professional took time read 1,professional took time read review 1,promptly contacted 1,promptly contacted brian 1,promptly contacted brian co 1,price appetizers including wings 1,promptly contacted brian co owner 1,pub customer 1,pub customer service 1,pub customer service sets 1,pub customer service sets good 1,pub hitting 1,pub hitting mark 1,SzKmHXMUgtkjhgDOPhhwXQ
