distance,index
"[309.  278.2 371.1 283.7 474.3 259.6 345.4 225.3 212.4 213.3 113.6 192.6
  89.4   0.  121.6 182.7  91.1 178.  405.1 371.2 298.4 344.2 355.4 267.9
 330.4 412.7]","[502  58  64 576 348 550 556 208 568 250 296   4 350 215  14 463 546 537
 343 406 641 435 467 101 285 426]"
"[ 21.2 250.9 231.6   0.  248.7 361.4 207.1 485.7 420.8 385.6 382.4 422.8
 428.4 404.3 450.8 365.2 301.7 260.6 467.  424.3]","[430 324 522 702 515 239  13 333 349 172 439 563 681 476 479 742 495 351
 628 730]"
"[415.3 358.9 447.1 308.2 291.3 422.7 422.3   0.   78.4 394.5 398.7  95.
 154.4 485.7 329.1 158.  170.8  51.  470.6 425.6 427.5]","[637 233 731 639 245 733 140 564 719 588 603 314 112 281 600 232 144 464
 203 704 601]"
[468.3 183.1 146.9  70.5  89.4   0. ],[400 178 341 327  29 272]
[  0.  448.8],[412 414]
"[379.1 262.2 315.8 213.  269.  361.8 129.8 107.6  85.9   0.  127.6 125.3
 426.3 125.3]",[170 432 218 234 225 587 683 486 316 249 359 697 504  78]
"[444.6 156.4 418.2 247.1 401.7 183.6 240.3 442.6 365.8 236.8 236.8 108.1
 307.6 287.3 347.6 121.9 101.9 367.5  60.3 152.2 482.  352.1 466.9  75.5
 167.1 322.6   0.   14.4 441.1 340.3 263.5 275.7 137.1 137.1 224.  153.8
 148.8 315.  436.7 403.9 436.7 418.3]","[224 743 611 616  19 534 632 555 468 471  72 613 610 179  85 541 267  91
 240 663 100 138 171 246 145 290 642 106 454 363 496 187 489 607 231 189
 653 634 480 394 583  28]"
"[249.1 304.9 214.8 285.8 407.4 461.9 460.1 460.1 216.4 278.7 232.5 276.8
 255.7 277.6  98.  192.4 289.1 126.8 175.9 224.  227.4 271.7 191.8 330.6
 330.6  99.7  95.6  97.5  97.5   0.  258.2 244.7  91.2 229.4 187.3 229.4
 357.6 388.2 466.1 463.2]","[743 611 616  19 534 632 471  72 613  85 541 267  91 240 663 138 246 145
 290 642 106 454 363 113 582 496 187 489 607 231 189 653 634 480 394 583
 211 608 525  28]"
"[445.9 400.4 243.6 441.9 429.5 424.6 444.5 219.6 494.2  87.2 386.8 144.2
 205.6   0.  341.1]",[ 23 493 353 617 123  87 678 175 317  71 387 417 647   1 137]
[27.  0.],[354 390]
