distance,index
"[372.5 178.6 361.4 314.3   0.  407.7 282.  269.6 413.7 278.  172.9 374.6
 222.8 318.5 363.2 463.2 349.7 479.1 235.2 330.4 301.9 494.4 399.7]","[430 522 702 515 239 346  13 333 693 349 172  77 439 300 563 278 476 519
 479 742 495 628 730]"
"[ 21.4 143.9   0.   57.7 144.5 115.5 111.1 143.5 154.9 206.6 237.3 361.8
 196.9 155.8]",[326 206 737 223  31 306 263 229 424 310 311 698 623 227]
"[124.   64.3 111.1 144.6  63.2   9.3   0.   36.   54.6  97.3 206.1 251.9
  87.9  48.8]",[326 206 737 223  31 306 263 229 424 310 311 698 623 227]
"[493.2 469.  434.9  66.4 432.5 280.2 463.4 287.  190.  396.7   0.  372.5
 216.7 422.3 353.7 315.8 196.7 268.3 273.2 264.6 452.9 269.2]","[637 304 706 233 337 639 729 245 733 284 140 375  42 564 719 420 438 112
 232 144 464 601]"
[279.8  34.7   0.  295.5],[578 650 460 401]
[396.2 175.  133.8   0.  238.2 239.7 447.4 277.3 257.3],[694 193 577 529  25 559 717 686 724]
[ 65.6 201.4 106.    0.  151.   39.1 253.9],[531 452 408 127 210  81 646]
"[443.9 424.7 445.2 447.2 386.3 248.8 436.6 329.4 268.2  15.    0.   50.5
 117.6]",[262 407 216 165 696 521 712 581 447 146 261 528 183]
[317.2 335.6 156.4 295.6  88.5  70.4  45.    0.   83.8 152.2 162.8],[595 485 121 465 219  53 705 358 114 668 448]
[303.3  22.3   0. ],[594 673 365]
"[448.5 198.5 265.1 254.6 321.5 264.6 473.6 170.8  94.1 453.2 263.5  43.2
 493.   14.3   0.  191.7 272.1]",[637 233 639 245 733 140  42 564 719 438 314 112 600 232 144 464 601]
[  0.   15.2 333.2 327.3 153.2],[255  20 580 505 509]
[63.6  0. ],[93 21]
"[124.8 436.  234.7 280.5 308.7 439.1 415.3 270.3 260.1 316.4 389.9 192.4
 301.3 189.1 191.  284.2 114.   79.4 403.  237.7   0.  161.8  57.3 346.3
  38.9 460.1]","[164 205 262 407 287 725  95 216 416 148 169 168 165 340  90 104  45  12
 521 712 593 230 330 581 342 447]"
[ 85.4   0.   36.3 203.2 257.8 361.4],[573 386 378 286  49 638]
[175.1   0. ],[154  35]
[  0.  329.4],[449 360]
[209.1  36.1   0.  195.6 188.5 152.9 117.7 163.  326.2 250.1 323.5 313.7],[201 180 235 129 423 110 649 258 461 605 606  22]
[0.],[325]
"[333.4 311.4 374.6 485.2 203.6 386.2  62.6 340.2 107.6  92.  125.2 207.3
   0.  175.6  91.6 153.6 455.9  99.3 165.2 300.2 122.7 139.4 197.8 252.6
 345.5 261.8 187.6]","[522 515 239 680 677 591 346  13 333 693 349 172  77 439 300 563 105 278
 476 625 519 479 742 495  68 628 730]"
"[261.6 116.  144.3  97.4 266.4 126.1 270.8 335.2  74.2 400.6 193.3  18.9
 415.7 173.4  18.1 340.3 350.4 101.7   0.  172.2 172.2  93.9  96.5 265.4
 265.4 191.8 430.7 418.  479.9 435.  190.6 327.4 273.5 327.4 475.1 497.9
 483.  493.8]","[743 611 616  19 613  85 541 267  91 240 663 138 246 145 290 642 106 454
 363 113 582 496 187 489 607 231 189 653  33 174 634 480 394 583 211 608
 198  44]"
[434.  387.9  82.2  85.9   0. ],[533 275 674 682 236]
[267.  223.6 407.4 114.3 109.8  89.3   0.   92.   26.7],[656 664  47 657 530 538 268 572 434]
[  0.  251.4 251.9],[109 141 721]
[257.1   0. ],[708 615]
"[488.6 456.4  57.8 158.3 453.2 253.7 267.9 156.7 418.6 247.5 406.8 408.9
 163.  208.7 208.4 169.9   0.  159.6 190.4 421.9 248.5 348.4 398.7 372.9
 457.3 483.8]","[208 568 250 296   4 350 215  14 463 546 537 343 406 641 435 467 101 285
 426 269 344 490 491 362 221 396]"
[0.],[302]
"[384.3 441.6 201.3 476.9 303.4 460.7 137.8 184.3 383.4 305.6 183.4 183.4
 158.5 250.4 230.4 404.  168.5 127.2 426.6   0.  211.9 422.2 412.4 406.8
  16.1 227.4 382.9  60.3  51.8 400.6 323.3 334.9 184.6 184.6 277.6 139.8
 140.2 367.5 480.2 451.4 480.2 394.2]","[224 317 743 611 616  19 534 632 555 468 471  72 613 610 179  85 541 267
  91 240 663 100 138 171 246 145 290 642 106 363 496 187 489 607 231 189
 653 634 480 394 583  28]"
"[402.6 418.1 391.  459.8 430.  369.3 289.9 125.6 175.3  71.2 122.1  54.8
 313.6   6.  257.3 391.8 261.7 265.4 400.1 290.9 490.    0.  375.7]","[544 374  54 335 695 713 382 602 624 500 629 318 347 199 205 287 725  95
 148 169 168 334  57]"
[254.5 190.8 318.1 275.3 203.6 390.1 309.8 464.6  52.5   0.  104.6],[195 370 433 125 364 130 672 357 501 618 666]
"[342.2 499.2  77.9  69.3 289.6   0.  312.5 190.1  21.5 357.7 262.1 183.5
 491.1]",[159 230  73 503 540 441  60 184 604 217 212 355 377]
[0.],[478]
[0.],[687]
"[366.  344.3 416.8 351.9 308.6 352.9 285.7 203.7 196.  103.1 209.6   0.
  89.4 149.9 165.3   6.3 263.2 479.4 318.6 344.7 382.1 297.6 253.7 356.7
 361.5 485.4]","[502  58  64 576 550 556 208 568 250 296   4 350 215  14 463 546 537 343
 406 641 435 467 101 285 426 344]"
[347.    0.  100.4 247.1 235.1],[518 736 655  17 549]
[382.1 417.7 463.2 463.2 392.8 380.3   0.  459.9 346.5 344.4 450.9],[ 33 174 480 583  97 211 402 670 608 198  44]
[115.5  85.5   0.   32.7  70.5],[178 341 327  29 272]
"[195.9 408.9  93.2  48.4 211.2 422.3 346.   39.2 419.4 382.9 341.  228.7
   0.  364.3 346.4 332.5 270.1 236.   98.8 301.3 310.2 288.2 284.5 297.1
 385.6 438.2 447.2 427.2 363.9]","[164 205 262 407 287 725  95 216 416 148 169 168 165 340  90  45  12 521
 712 593 230 330 581 342 447 146 261 528 183]"
[14.5  0. ],[557 188]
[338.8 171.8  26.2   0.  248.1],[391 191 524 590 726]
[0.],[571]
[415.2   0.   40.  450. ],[485  34 128 465]
"[272.1 324.5 193.3 332.    0.  285.7   0.  207.9 335.8 356.7 343.5 396.2
 459.1]",[502  58  64 576 621 550 291 556 208 568   4 463 537]
[ 47.5   0.   24.6 189.9],[614 312 720 692]
"[  0.  302.5 125.8 289.7 255.4 332.5 480.9 319.9 319.9  51.5 398.9 378.6
 218.9  34.6  86.7 258.7 201.3 151.6 278.6 216.9 125.7 247.5 156.4 170.8
 359.8 261.6 430.3 430.3 223.9 242.2 215.3 215.3 249.1 307.1 300.1 329.3
 477.7 432.1 477.7]","[743 611 616  19 534 632 468 471  72 613 610 179  85 541 267  91 240 663
 138 246 145 290 642 106 454 363 113 582 496 187 489 607 231 189 653 634
 480 394 583]"
"[386.3 199.8 365.2 118.9 330.4 335.9 171.2 158.7 194.5 151.3 106.7 180.
 197.8 126.9 242.5  57.7 287.2  39.1 460.5 218.  181.9   0.   63.6 486.4
 384.9 164.   73.8]","[430 522 702 515 239 677 346  13 333 693 349 172  77 439 300 563 278 476
 625 519 479 742 495  68 351 628 730]"
[379.9 226.  450.6 450.6 248.4 243.9 331.9   0.  379. ],[380 450 428  84 367 404 512 661 294]
[103.8  89.9 263.8  20.4   0.   76.8],[  8  80 228  59 619  48]
[278.7   0.  438.5],[401 155 130]
"[471.9  86.7 387.2 209.1 373.5 170.  246.2 453.9 394.2 234.3 234.3  69.8
 313.1 292.7 305.   65.    0.  341.4 127.2 182.8 350.8 141.2 174.3 319.5
 101.9 114.3 436.  335.2 280.7 297.2 212.6 212.6 276.8 253.7 249.8 365.7
 464.1]","[224 743 611 616  19 534 632 555 468 471  72 613 610 179  85 541 267  91
 240 663 138 246 145 290 642 106 454 363 496 187 489 607 231 189 653 634
 394]"
"[428.8 335.8 465.1 418.3 366.6 372.9 381.8 301.3 138.   32.9 442.4  26.8
   0.  490.   84.4 471.3 330.9 336.6 112.  471.3]","[250 406 641 435 467 101 285 426 344 490 371 491 362 204 221 482 319 431
 396 442]"
[231.1 179.7 294.7 244.4 196.  382.6 284.5 412.1   0.   52.5  52.7],[195 370 433 125 364 130 672 357 501 618 666]
"[216.9 114.2 206.6 230.4 112.   95.8  97.3  63.1  56.6   0.  201.1 155.2
   9.8  51.1]",[326 206 737 223  31 306 263 229 424 310 311 698 623 227]
[488.7 489.2 254.2   0.  275.3],[206  31 462 200 248]
[313.1 158.  174.4   0.  200.9 202.5 201.5 202. ],[320 173 437 242 497 345 142 309]
[376.  404.2 271.6 370.9 220.7 458.7   0.  494.7 136.1 267.2 378.2 434. ],[709 499 598 487 143  69 533 415 275 654 674 236]
"[123.9 259.2 322.1 357.3 346.8 432.7 392.9 441.8 467.3   0.   22.7  26.6
 416.1 149.9 148.7 189.6 317.2]",[270 119 599 254 535 626 116 553 470 315  61 338 182  70 684  18 163]
"[ 74.3 356.9 225.8 261.7 235.1 360.4 336.3 246.7 202.1 241.6 310.6 115.1
 270.1 130.4 125.3 482.4 277.1  68.2   0.  417.8 231.6  79.4 226.7 124.8
 382.3  45.  500. ]","[164 205 262 407 287 725  95 216 416 148 169 168 165 340  90  57 104  45
  12 521 712 593 230 330 581 342 447]"
"[171.9  76.  230.7 230.7 230.7 230.7 203.   26.8 190.7 444.3 471.2 396.5
  29.4  13.  413.1 471.8   0.    6.9  27.4 260.    4.8]","[746 336 612 671 226 710  26 492 160 374  54 335 451 328 695 713 161 707
 688 685 152]"
[0.],[241]
[ 82.1  19.9 132.7 124.8   0.  187.4 469.6 457.9 196.  203.6 191.4],[195 370 433 125 364 130 672 357 501 618 666]
"[225.5   0.  415.2 384.  250.4  47.8 249.2 266.  291.2 335.6 311.7 449.8
 464. ]",[595 485  34 128 121 465 219  53 705 358 114 668 448]
"[458.8 326.9 341.6 360.5 385.6 500.  165.2 317.5 460.1 315.  405.  118.5
 389.1 385.2 487.3 282.5 393.  478.  489.    0.  274.1 343.6 268.2 298.5
 162.4]","[164 262 407 216 165  12 521 712 593 230 330 581 540  60 184 217 212 355
 342 447 146 377 261 528 183]"
[67.3  0.  57.6],[455 514  96]
[432.9   0.  343.6 408.  452.2 342.2 459.8 356.4 321.1 447.8 368.4],[102 159  73 503 540 441  60 184 604 212 355]
"[239.9 241.5 113.8 229.8 438.  405.6  66.2 210.6 109.1 378.4  26.4 215.2
 372.5   0.  210.2 231.7 381.6 206.7 243.2 499.3]","[ 23 493 304 706 233 353 337 617 729 733 284 123 140 375  87  42 678 420
 438 264]"
"[496.5 308.  499.1 446.7 445.6 133.3 394.6  73.7 454.  318.7   0.   91.8
 144.2 234.2 422.2 432. ]",[493 353 123 678 224 175 317  71 555 387 417 647   1 137 100 171]
"[154.1  79.9 143.5 169.7  78.1  37.6  36.    0.   21.9  63.1 189.9 218.4
  53.4  12.9]",[326 206 737 223  31 306 263 229 424 310 311 698 623 227]
"[485.5 379.2 439.9 336.1 381.2 477.9 252.7 232.9 172.3 125.3  66.6   0.
 304.7   0. ]",[170 432 218 234 225 587 683 486 316 249 359 697 504  78]
"[429.8 452.4 381.5 252.  270.5 234.7 278.1   0.  196.2 129.  231.6 156.2
  92.7 286.7 199.9 279.5 279. ]",[665 506 474 643  83 222  51  92 732  43 575 307 196 157 675  82  74]
"[401.5 335.1 479.1 419.1 117.9 319.1  71.7 376.7 224.7  70.6 204.1 306.4
 122.7 261.3 213.5 160.3 385.4 123.  179.  244.8   0.  249.7 218.  281.7
 268.5 470.4 192.1 165.5]","[522 515 239 680 677 591 346  13 333 693 349 172  77 439 300 563 105 278
 476 625 519 479 742 495  68 419 628 730]"
[  0.   70.8 137.7],[ 66  55 622]
[248.3 233.    0.  303.9 459.1 474.3],[667 202 251 484  32 427]
"[338.7 289.9 407.7 474.9 177.8 374.5   0.  326.2 154.7  31.7 135.  235.2
  62.6 191.9 152.9 117.  442.9 119.4 133.3 293.5  71.7 178.2 171.2 232.7
 327.8 203.  140.5]","[522 515 239 680 677 591 346  13 333 693 349 172  77 439 300 563 105 278
 476 625 519 479 742 495  68 628 730]"
[0.],[443]
"[129.6  55.1 115.5 151.6  53.9   0.    9.3  37.6  58.2  95.8 214.3 249.4
  86.8  50. ]",[326 206 737 223  31 306 263 229 424 310 311 698 623 227]
[471.1 131.5   0.   85.9],[275 674 682 236]
[483.6 484.6 151.7  91.8 379.    0. ],[450 367 404 512 661 294]
[  0.   96.7 216.3 487.  487. ],[403  86 373 511 579]
"[ 60.8  13.  138.7   0.  332.  253.8  92.  332.  255.5  72.1 262.5 489.
 395.  497.  204.1 351.9 283.7 381.5 278.9 356.6 141.4 465.8 482.1]","[502  58  64 576 621 348 550 291 556 208 568 250 296 596   4 350 215  14
 463 546 537 343 641]"
[70.7  0. ],[483 662]
[ 88.3 119.    0.  176.7 304. ],[381 679  15 558 734]
[0.],[409]
"[215.9 259.5  17.9   0.  166.3 287.  481.9 291.3 273.2 464.3 365.4 215.5
 247.5 254.6 341.2 472. ]",[637 233 639 245 733 140  42 564 719 438 314 112 232 144 464 601]
[ 54.9   4.7  71.7   0.  309.1  48.7],[517 384 498 279 209 425]
[128.1  79.3   0. ],[400 421   6]
[487.3 362.3  91.9   0.  182.2 286. ],[504  65   2 741   5 640]
[211.3   0.  296.1 180.5 452.9 499.5],[466 389 238 135 201 110]
"[421.5 349.2 441.3 440.8 433.5 467.3 188.  301.3 436.8 335.1 196.  218.2
 412.5   0.  211.5 277.1 284.2 427.9 336.  264.7]","[320 164 205 287 725  95 416 148 169 168 340  90  57 104  45  12 593 230
 330 342]"
"[354.  187.5 128.5 104.8  95.1   9.6  50.1   0.  137.8  63.3 441.8 446.
 453.5 477.7 482.4]",[270 119 599 254 535 626 116 553 190 470 315  61 338  70 684]
"[185.1 107.  116.1 474.5   0.  346.1 117.6 318.8 381.5 442.2 402.3 320.8
 317.1 269.8 128.9]",[ 39 665 506 456 474 643  83 222  92 732  43 307 196 675  74]
[  0.  347.7 351.7],[658 744 527]
"[170.3 268.6 328.4 352.8 222.9 267.4 271.2 334.1  79.3 132.3 241.3 121.7
 346.4  22.3   0.  359.2 218.2  80.5 125.3 335.9 191.  349.5 245.  152.4]","[164 205 262 407 287 725  95 216 416 148 169 168 165 340  90  57 104  45
  12 712 593 230 330 342]"
"[163.  101.5 154.9 174.3  99.6  58.2  54.6  21.9   0.   56.6 170.8 209.3
  47.2  15.5]",[326 206 737 223  31 306 263 229 424 310 311 698 623 227]
[231.6  65.2 341.1 182.2 253.9 103.3 244.3 266.6   0.  334.3],[531 452 545 408 127 210  81 630 646  56]
"[414.5 212.6 287.4 183.3 210.9 309.1 109.1 113.4   0.   85.9 137.4 172.3
 474.7 172.3]",[170 432 218 234 225 587 683 486 316 249 359 697 504  78]
"[274.5  98.6   0.  104.9 124.5 107.7 187.4 209.5 287.4 315.8 422.1 439.9
 439.9]",[170 432 218 234 225 587 683 486 316 249 359 697  78]
"[189.4 157.4   5.6 185.6 298.7  45.8 101.6   0.  486.5  83.7 106.9 463.4
 109.1 111.  287.1 285.8 223.6 303.7 421. ]","[ 23 493 304 706 353 337 617 729 733 284 123 140 375  87  42 678 420 438
 264]"
[248.2   0. ],[475 584]
"[433.5 410.5 308.4 338.5 301.9 375.6 311.7 421.7 263.2 348.1   0.  451.8
 444.  198.1  17.   72.6 423.4 255.7 143.2  68.  255.1 408.9 285.  268.6
 257.3 240.9 441.3 343.6 356.9 461.3 436.  478.7 398.6]","[713 382 602 624 500 629 318 347 199 164 205 262 407 287 725  95 216 416
 148 169 168 165 340  90 334  57 104  45  12 712 593 330 342]"
[ 72.4 107.9  27.8 494.9   0.  403.4 156.1],[536 297 361 153 620 700 562]
[490.4 323.4 261.9 235.  233.  146.9 187.5 137.8   0.  127.4],[270 119 599 254 535 626 116 553 190 470]
[141.6   0.   93.7],[440 585 366]
"[223.9 205.3 142.8 186.2 436.8 496.1 496.1 211.3 184.4 221.4 280.7 156.1
 323.3 111.4  98.  337.5 106.5  77.1 263.5 271.7 184.5  93.9 250.4 250.4
   0.   18.9 173.  173.   99.7 339.2 326.3 472.3 126.7 278.6 226.7 278.6
 421.4 448.4]","[743 611 616  19 534 471  72 613  85 541 267  91 240 663 138 246 145 290
 642 106 454 363 113 582 496 187 489 607 231 189 653 174 634 480 394 583
 211 608]"
[  0.   84.3 168.6  95.1 324.9 166.8 167.6 260.9 471. ],[194 181 332 648 473 124 322 740 392]
[ 64.6  73.7   0.   71.7 295.3  23.6],[517 384 498 279 209 425]
[175.3 492.4 438.2   0.  261.  281.9],[207 669 329 132 126 259]
"[473.6 497.1   0.  498.5 256.6 259.5 204.5 462.5  66.4 438.  278.3 358.9
 288.6 377.5 257.9 453.9 204.5 207.5 198.5 387.8 239.3]","[637 706 233 337 639 245 733 284 140 375  42 564 719 420 438 314 112 232
 144 464 601]"
[453.2   0.   17.8 158.   45.   44.5  75.3  76. ],[320 173 437 242 497 345 142 309]
[  0.   44.  115.5  94.8 183.1],[178 341 327  29 272]
[ 0.  99.4],[722 570]
"[392.5 312.3 283.7 210.5 232.7 329.7 207.5 285.8 361.2 220.5 381.6 265.
 429.3   0.  330.  449.6 164.9 404.3 446.7 444.5]","[ 23 493 304 706 353 337 617 729 284 123 375  87  42 678 420 438 264  71
 417   1]"
"[162.5   0.  143.9 191.4   2.2  55.1  64.3 488.7  79.9 101.5 114.2 267.6
 251.6 108.1  87.8]",[326 206 737 223  31 306 263 200 229 424 310 311 698 623 227]
[  0.  463.3],[481 728]
[77.9 57.6  0. ],[455 514  96]
[293.3 283.6 255.6 286.  247.7   0. ],[504  65   2 741   5 640]
"[474.9 494.9 432.7 372.  324.9 327.  330.9 302.9 144.3   0.  231.9 315.3
 423.1 144.3 437. ]",[406 467 426 344 490 491 362 221 482 319 431 396 156 442 277]
[ 54.4 352.6 153.4  85.  444.5 239.3 470.4 312.2 201.9   0. ],[680 677 591 105 278 625 519   0  68 419]
[388.2 376.4   0.  396.7 488. ],[ 76 276  89  99 372]
"[330.9 270.  413.7 487.3 186.8 387.   31.7 309.2 172.8   0.  136.2 240.9
  92.  193.1 179.4  94.5 454.3 147.9 112.4 309.2  70.6 191.2 151.3 214.5
 337.8 171.4 111.7]","[522 515 239 680 677 591 346  13 333 693 349 172  77 439 300 563 105 278
 476 625 519 479 742 495  68 628 730]"
"[187.4 495.1 220.6 378.6 123.5  47.6 161.2 334.8 118.6  59.1  59.1 356.
  20.6 380.9   0.  356.5 292.7 230.4 438.7 248.1 227.9 218.9 447.6 287.3
 281.5 413.4 413.4 307.7 317.2 463.6]","[224 175 317 743 534 632 555 387 468 471  72 613 610 137 179 541 267 240
 663 100 171 246 145 642 106 489 607 189 653  28]"
[428.2 477.2 266.4 363.5 463.8 397.    0.  312.2],[656 664  47 680 591 105   0 419]
[273.2 156.2  42.2  58.    0. ],[551 369  67  38  46]
"[ 50.5 337.3 121.6 343.9 265.3 122.3 252.2 432.  110.8 349.4 283.5 283.5
 212.4 215.7 227.9 406.8  21.    0.  391.3 466.9 456.5 413.2 426.5 429.2]","[224 175 317 534 632 555 387 417 468 647 471  72 610 137 179 240 100 171
 246 642 106 189 653  28]"
[  0.  225.5 489.2 341.6 188.  270.3 260.5 279.9 317.2 350.6 468.1 479.5],[595 485 128 121 465 219  53 705 358 114 668 448]
[0.],[356]
[414.    7.7   0.  230. ],[696 701 107  50]
[294.4 440.3   0. ],[120 578 133]
[ 0.  72.1],[532 293]
"[ 36.7 191.4  57.7   0.  191.6 151.6 144.6 169.7 174.3 230.4 208.6 383.1
 220.7 180.1]",[326 206 737 223  31 306 263 229 424 310 311 698 623 227]
[ 72.1  24.6   0.  166.6 496.9],[614 312 720 692 213]
[  0.  432.9],[102 159]
[0.  4.6],[108 597]
[496.9 340.1   0. ],[720 692 213]
[476.   86.4 280.    0. ],[711 445 457 592]
"[190.1 444.   51.9   0.  246.1 456.5 384.2  21.  429.  404.7 376.6 241.8
  48.4 368.7 352.8 327.7 261.7 199.   54.9 280.5 269.2 259.3 237.4 282.2
 341.6 417.  424.7 409.6 333.3]","[164 205 262 407 287 725  95 216 416 148 169 168 165 340  90  45  12 521
 712 593 230 330 581 342 447 146 261 528 183]"
"[369.5 428.  216.9 492.8 319.5 476.5 133.  173.6 370.1 290.8 174.1 174.1
 174.6 238.6 218.9 420.  184.4 141.2 442.4  16.1 226.2 406.6 427.3 391.3
   0.  242.7 398.   75.5  65.8 415.7 337.5 348.8 194.7 194.7 289.1 134.3
 136.3 378.4 487.9 460.3 487.9 383.8]","[224 317 743 611 616  19 534 632 555 468 471  72 613 610 179  85 541 267
  91 240 663 100 138 171 246 145 290 642 106 363 496 187 489 607 231 189
 653 634 480 394 583  28]"
[0.],[453]
[327.1 295.5   0.  278.7],[650 460 401 155]
[ 45.  117.4  66.3   0.  124.8 197.9 468.6 359.  244.4 275.3 211.8],[195 370 433 125 364 130 672 357 501 618 666]
"[316.5 136.1 187.4  83.4 148.7 234.9   0.   36.9 109.1 129.8 236.8 252.7
 252.7]",[170 432 218 234 225 587 683 486 316 249 359 697  78]
"[261.   96.8  51.6  51.9   0.   86.2  46.4  95.1 233.  132.9 346.8 350.9
 358.4 387.  391.5 489.8]",[270 119 599 254 535 626 116 553 190 470 315  61 338  70 684  18]
[487.  390.3 270.6   1.5 292.7   0. ],[403  86 373 511 672 579]
[321.1  75.   88.5 287.   21.5 309.2 183.2   0.  360.4 261.  178.4 487.1],[159  73 503 540 441  60 184 604 217 212 355 377]
"[  0.  339.6  87.7 307.9 228.7  73.2 227.5 445.6  78.9 358.7 245.2 245.2
 170.1 217.7 187.4 471.9 384.3  70.8  50.5 369.5 444.6 435.3 407.4 420.2
 454. ]","[224 175 317 534 632 555 387 417 468 647 471  72 610 137 179 267 240 100
 171 246 642 106 189 653  28]"
"[ 36.6 236.8  27.8  27.8  27.7  27.8   0.  192.1  17.4 244.8 272.2 198.
 228.1 213.8 225.1 291.9 365.6 203.  197.9 481.4 195.8  79.7 203.9 340.9]","[746 336 612 671 226 710  26 492 160 374  54 335 451 328 695 713 382 161
 707 624 688 685 152 347]"
[471.   17.8   0.  174.4  34.6  29.   77.2  77.9],[320 173 437 242 497 345 142 309]
[315.6 214.9 396.8  91.5 474.7   0. ],[598 487 143 415 654 523]
[0.],[331]
[0.],[3]
[274.5 122.2   0.  237.8 127.3],[627 103 134 288 260]
"[301.1 401.7 485.4 405.1 479.1 198.7 383.6 347.1 229.8 248.5 300.4 167.
 487.3   0.  107.6 476.4 164.7 138.  219.2 494.2 372.  447.3 248.7 494.2]","[250 296 350  14 546 406 641 435 467 101 285 426 269 344 490 371 491 362
 221 482 319 431 396 442]"
[ 48.4 182.6   0.  241.5  80.6  54.2],[644 574 186 301 458 273]
"[487.8 178.9 247.9 297.6 355.4 283.3 448.1 291.7  31.1 378.5 373.6   0.
 169.9 322.1  69.3 229.8 334.8 393.  366.6 443.9 494.9 474.6]","[568 250 296 350 215  14 463 546 406 641 435 467 101 285 426 344 490 491
 362 221 319 396]"
[244.6  83.2   7.7   0.   88.7 110. ],[633 247  63 295 566  24]
"[333.2 456.3 456.3 456.2 456.3 481.4 488.6 242.8 215.7 285.3 259.5 206.2
 115.9  49.7   0.  112.1 158.5 413.1 166.2 140.9 175.5 338.5 333.8 378.9
 462.5 395.4 175.3 331.2]","[544 612 671 226 710  26 160 374  54 335 695 713 382 602 624 500 629 685
 318 347 199 205 725  95 148 169 334  57]"
[ 54.3 118.8   0.  106.   88.8  76.5 448.4 182.2],[531 452 408 127 210  81 630 646]
"[125.8 178.2   0.  164.4 379.1 454.7 443.3 443.3 148.  100.6 145.1 209.1
 132.9 303.4 145.8 162.8 319.5 106.5 133.6 247.1 260.2 237.2 144.3 306.9
 306.9 142.8 161.1 234.4 234.4 214.8 375.7 365.4 268.3 421.  369.5 421. ]","[743 611 616  19 534 632 471  72 613  85 541 267  91 240 663 138 246 145
 290 642 106 454 363 113 582 496 187 489 607 231 189 653 634 480 394 583]"
"[6.220e+01 2.632e+02 0.000e+00 0.000e+00 3.000e-01 0.000e+00 2.780e+01
 2.196e+02 4.230e+01 2.181e+02 2.457e+02 1.719e+02 2.557e+02 2.415e+02
 2.020e+02 2.702e+02 3.405e+02 2.307e+02 2.256e+02 4.563e+02 2.234e+02
 6.670e+01 2.317e+02 3.162e+02]","[746 336 612 671 226 710  26 492 160 374  54 335 451 328 695 713 382 161
 707 624 688 685 152 347]"
"[374.8  29.9 124.5  93.9   0.   98.9 148.7 184.4 210.9 269.  347.2 381.2
 381.2]",[170 432 218 234 225 587 683 486 316 249 359 697  78]
[ 34.8   0.  119.  262.  422.6],[381 679  15 558 734]
"[143.2 478.7 209.4 259.3 334.3 483.2 451.7 253.  316.4 366.3 428.2 227.
 288.2 244.8 245.  336.  170.4 124.8 358.  210.3  57.3 105.1   0.  493.3
 293.1 475.7  93.4 405.  491.2]","[164 205 262 407 287 725  95 216 416 148 169 168 165 340  90 104  45  12
 521 712 593 230 330 503 581 217 342 447 183]"
"[182.1 260.8 318.6 371.2 290.6 472.8 312.6   0.  369.3 360.1  31.1 163.
 307.8  42.9 198.7 304.  362.2 335.8 413.5 474.9 444.1]","[250 296 350 215  14 463 546 406 641 435 467 101 285 426 344 490 491 362
 221 319 396]"
[168.6  99.4   0.  144.1 190.6  70.  108.6 231.4 358.3],[194 181 332 648 473 124 322 740 392]
"[408.  430.3  90.2 493.3   0.  272.3  69.3 296.9 192.4  88.5 321.9 241.2
 180.6 474.1]",[159 230  73 330 503 540 441  60 184 604 217 212 355 377]
"[  0.   52.5  79.4  60.8 272.1 294.6  63.6 272.1 204.8  83.9 241.6 422.5
 188.2 366.  309.  416.7 265.6 371.3 192. ]","[502  58  64 576 621 348 550 291 556 208 568 296   4 350 215  14 463 546
 537]"
"[166.4 461.3   9.4  54.9 267.  472.4 406.8  60.1 414.4 404.9 395.4 236.1
  98.8 349.3 335.9 299.5 231.6 195.3   0.  237.7 214.4 210.3 205.1 245.
 317.5 430.5 436.6 427.5 335.5]","[164 205 262 407 287 725  95 216 416 148 169 168 165 340  90  45  12 521
 712 593 230 330 581 342 447 146 261 528 183]"
[166.9 325.1 109.8 369.8  30.3  76.9 372.6 104.1   0. ],[185 488 177 715 477 418 520 552 735]
"[403.4 304.  452.9 408.3 334.8 348.4 368.8 269.  107.6   0.  457.4  58.3
  32.9 111.6 462.1 324.9 352.9 141.1 462.1]","[250 406 641 435 467 101 285 426 344 490 371 491 362 221 482 319 431 396
 442]"
"[280.3 481.3 384.6 218.1 218.1 218.1 218.1 244.8 436.1 254.5   0.   27.7
  48.1 471.  455.9  68.9 110.3 129.4 444.3 438.6 292.5 242.8 353.5 377.8
 432.7 187.9 444.6 405.2 109.7 418.4 418.1 402.1]","[746 336 544 612 671 226 710  26 492 160 374  54 335 451 328 695 713 382
 161 707 602 624 500 629 688 685 152 318 347 199 334  57]"
[0.],[636]
"[405.6 204.5 227.2 215.5 298.2 268.3 482.7 154.4  87.6 462.4 249.4   0.
 482.9  32.7  43.2 185.7 310.5]",[637 233 639 245 733 140  42 564 719 438 314 112 600 232 144 464 601]
"[233.3 282.7 382.1 344.2 232.9 377.6 396.5 228.6 360.1  55.5   0.  373.6
 208.4  52.7 375.7 218.6 347.1 306.  408.3 332.1 437.3 418.3 433.3 493.1]","[250 296 350 215  14 546 537 343 406 641 435 467 101 285 426 269 344 508
 490 371 491 362 204 221]"
[  0.   49.3 163.  214.7 357.3 344.7 267.  336.1 285.8 428.2],[656 664  47 657 530 538 268 572 434   0]
[ 15.2   0.  327.8 316.9 142.5],[255  20 580 505 509]
[  0.  272.8 362.3 184.3 283.6],[ 65   2 741   5 640]
[0.],[298]
[428.9 231.4 215.3 261.    0.   62.8],[207 669 329 132 126 259]
[455.9 226.5 164.4 281.9  62.8   0. ],[207 669 329 132 126 259]
